Party,Criminal Case,Total Assets,Liabilities,state,Education
INC,0,170000000,30000000,PUNJAB,10th Pass
BJD,5,3700000,0,ODISHA,10th Pass
INC,0,60000000,5300000,HARYANA,Graduate Professional
BJP,1,80000000,10000000,MADHYA PRADESH,Post Graduate
BJP,2,140000000,7500000,UTTAR PRADESH,12th Pass
INC,2,50000000,4400000,RAJASTHAN,Graduate
CPI(M),7,20000000,0,KERALA,Graduate Professional
INC,0,40000000,60000,CHHATTISGARH,Post Graduate
BJP,0,50000000,10000000,RAJASTHAN,Graduate
NCP,1,30000000,1000000,MAHARASHTRA,Graduate
BJP,0,400000000,30000000,ARUNACHAL PRADESH,Graduate
INC,0,60000000,2100000,KARNATAKA,Graduate
DMK,3,110000000,30000000,TAMIL NADU,12th Pass
DMK,0,50000000,20000000,TAMIL NADU,Graduate Professional
AITC,0,2100000,0,WEST BENGAL,10th Pass
BJP,0,0,5500000,ASSAM,10th Pass
BJD,1,8200000,1700000,ODISHA,10th Pass
BJP,0,20000000,0,GUJARAT,Graduate Professional
INC,0,60000000,10000000,MADHYA PRADESH,12th Pass
BJP,0,110000000,2600000,UTTAR PRADESH,12th Pass
AIADMK,1,60000000,10000000,TAMIL NADU,Graduate
SHS,0,7900000,2100000,MAHARASHTRA,12th Pass
INC,0,130000000,20000000,MAHARASHTRA,12th Pass
DMK,3,9600000,200000,TAMIL NADU,12th Pass
BJP,0,30000000,7300000,ASSAM,Post Graduate
YSRCP,0,1590000000,170000000,ANDHRA PRADESH,Post Graduate
INC,1,40000000,4900000,HIMACHAL PRADESH,Doctorate
BJP,0,73000,0,TRIPURA,10th Pass
AAP,0,20000000,400000,PUNJAB,12th Pass
BJP,7,40000000,9100000,MAHARASHTRA,Graduate Professional
AAP,2,800000000,110000000,DELHI,12th Pass
BJP,0,7800000,0,TRIPURA,Graduate
IND,0,270000000,1600000,HARYANA,Graduate
BJD,0,9400000,500000,ODISHA,12th Pass
SHS,1,200000000,8900000,MAHARASHTRA,Graduate
BJP,0,80000000,10000000,ASSAM,Graduate
AAP,1,10000000,3700000,PUNJAB,12th Pass
BJP,0,100000000,0,UTTAR PRADESH,Doctorate
INC,0,4900000,1200000,UTTARAKHAND,Graduate Professional
INC,7,190000000,10000000,KARNATAKA,12th Pass
AAP,0,80000000,10000000,PUNJAB,12th Pass
INC,0,20000000,2100000,HARYANA,12th Pass
BJP,0,10000000,60000,UTTAR PRADESH,Graduate Professional
AIADMK,0,20000000,6200000,TAMIL NADU,Graduate Professional
BJP,0,30000000,500000,MANIPUR,Others
BJP,0,110000000,3400000,RAJASTHAN,Graduate Professional
INC,6,70000000,5300000,MADHYA PRADESH,Post Graduate
CPI(M),0,1900000,1200000,TAMIL NADU,Graduate Professional
BJP,0,2700000,400000,WEST BENGAL,Graduate Professional
AIADMK,0,120000000,4200000,TAMIL NADU,Graduate Professional
INC,1,650000000,370000000,KARNATAKA,Graduate Professional
BJD,0,10000000,1700000,ODISHA,Graduate
BJP,0,0,900000,ODISHA,Others
RJD,2,0,0,BIHAR,12th Pass
BJP,0,10000000,0,UTTAR PRADESH,Graduate Professional
YSRCP,0,810000000,150000000,ANDHRA PRADESH,Graduate
AIADMK,0,0,0,TAMIL NADU,Graduate
SP,0,140000000,60000000,UTTAR PRADESH,Graduate
AAP,4,600000,2000000,PUNJAB,Graduate
INC,1,6600000,0,TAMIL NADU,Graduate Professional
BJP,0,350000000,1700000,KARNATAKA,10th Pass
SHS,0,90000000,30000000,MAHARASHTRA,Graduate
INC,0,0,30000000,KARNATAKA,Others
BJP,0,2800000,200000,KARNATAKA,10th Pass
BJP,4,0,10000000,BIHAR,Post Graduate
BJP,0,1090000000,0,ARUNACHAL PRADESH,Graduate
DMK,1,1000000,0,TAMIL NADU,10th Pass
BJP,0,10000000,1600000,MADHYA PRADESH,12th Pass
BJP,12,40000000,300000,WEST BENGAL,Graduate
DMK,6,10000000,7000000,TAMIL NADU,12th Pass
BJP,0,1300000,1700000,CHHATTISGARH,Graduate
INC,5,10000000,61000,TAMIL NADU,10th Pass
TDP,0,140000000,30000000,ANDHRA PRADESH,Post Graduate
BJP,0,100000000,2600000,ARUNACHAL PRADESH,Graduate
INC,1,0,0,ASSAM,Others
AITC,0,500000,0,WEST BENGAL,8th Pass
BJP,0,20000000,600000,CHHATTISGARH,10th Pass
CPI(M),2,1800000,2200000,TRIPURA,Graduate
BJP,1,3800000,400000,MADHYA PRADESH,10th Pass
BJP,0,10000000,1700000,GUJARAT,Others
BJP,0,10000000,4400000,GUJARAT,10th Pass
BJP,1,0,300000,UTTAR PRADESH,Post Graduate
NDPP,0,90000000,0,NAGALAND,Graduate
BJP,0,6400000,0,MADHYA PRADESH,Graduate Professional
INC,0,3900000,200000,MADHYA PRADESH,12th Pass
SHS,0,110000000,40000000,MAHARASHTRA,Graduate
BJP,0,4300000,3200000,RAJASTHAN,10th Pass
BJP,0,250000000,0,HIMACHAL PRADESH,10th Pass
BJP,0,30000000,5000000,MADHYA PRADESH,Graduate
SP,6,40000000,7500000,UTTAR PRADESH,Post Graduate
INC,0,0,4800000,KARNATAKA,Graduate
BJP,0,10000000,1800000,MAHARASHTRA,Graduate
BJD,0,30000000,1400000,ODISHA,Post Graduate
CPI,0,20000000,100000,KERALA,Graduate Professional
AITC,0,9100000,0,WEST BENGAL,Graduate
AAP,0,20000000,600000,DELHI,10th Pass
AITC,0,40000000,0,WEST BENGAL,Post Graduate
BJD,2,20000000,700000,ODISHA,Graduate Professional
BJP,1,10000000,3200000,KARNATAKA,8th Pass
BJD,1,10000000,7500000,ODISHA,Post Graduate
AITC,0,2200000,1200000,WEST BENGAL,Graduate
AIADMK,1,30000000,200000,TAMIL NADU,Graduate
INC,0,0,0,RAJASTHAN,Graduate Professional
BJP,2,1200000,0,RAJASTHAN,Graduate Professional
INC,0,350000000,10000000,MAHARASHTRA,Post Graduate
INC,2,40000000,800000,BIHAR,10th Pass
BJP,1,490000000,430000000,KARNATAKA,12th Pass
AITC,1,7000000,0,WEST BENGAL,12th Pass
BJP,3,90000000,2900000,KARNATAKA,10th Pass
AITC,0,20000000,10000000,WEST BENGAL,Graduate Professional
BJP,0,3600000,300000,BIHAR,12th Pass
INC,1,300000000,50000000,KARNATAKA,10th Pass
BJP,3,60000000,3100000,BIHAR,Graduate
INC,0,0,5000000,CHHATTISGARH,12th Pass
BJP,0,90000000,100000,UTTAR PRADESH,Graduate
IND,52,0,3000000,ASSAM,Graduate
DMK,1,10000000,200000,TAMIL NADU,Graduate
IND,7,0,70000000,MAHARASHTRA,12th Pass
Sikkim Krantikari Morcha,0,6200000,200000,SIKKIM,Graduate
BJP,0,50000000,900000,UTTAR PRADESH,Post Graduate
BJP,0,10000000,10000000,BIHAR,Doctorate
AITC,0,6500000,1100000,WEST BENGAL,12th Pass
BJP,0,2600000,100000,ODISHA,Post Graduate
AAP,0,20000000,0,PUNJAB,Graduate Professional
AITC,2,6700000,0,WEST BENGAL,10th Pass
INC,0,690000000,30000000,TAMIL NADU,Post Graduate
AAP,2,10000000,0,DELHI,10th Pass
BJP,0,0,0,UTTAR PRADESH,Graduate Professional
AIADMK,0,120000000,10000000,TAMIL NADU,10th Pass
INC,0,4000000,0,HARYANA,12th Pass
BJP,4,20000000,8000000,MADHYA PRADESH,Doctorate
RJD,4,0,0,BIHAR,Doctorate
IND,0,15000,0,ODISHA,Post Graduate
AAP,2,20000000,4600000,DELHI,12th Pass
AITC,0,40000000,6000000,WEST BENGAL,Post Graduate
Sikkim Krantikari Morcha,0,80000000,300000,SIKKIM,Graduate
AITC,0,10000000,3200000,WEST BENGAL,8th Pass
AITC,2,100000000,10000000,WEST BENGAL,12th Pass
YSRCP,1,120000000,10000000,ANDHRA PRADESH,Post Graduate
SP,12,0,90000000,MAHARASHTRA,Graduate
BJP,6,0,900,BIHAR,Graduate
AITC,0,10000000,0,WEST BENGAL,Graduate
AITC,1,1200000,0,WEST BENGAL,Post Graduate
DMK,29,110000000,0,TAMIL NADU,10th Pass
JD(U),1,0,30000,BIHAR,Doctorate
INC,1,10000000,3700000,RAJASTHAN,Doctorate
INC,5,100000,0,RAJASTHAN,Post Graduate
BJP,0,40000000,1700000,ASSAM,Graduate
BJP,3,2200000,0,UTTAR PRADESH,Post Graduate
INC,0,30000000,1000000,HIMACHAL PRADESH,Post Graduate
BJP,0,120000000,30000000,UTTAR PRADESH,10th Pass
BJP,0,10000000,1500000,GUJARAT,Literate
BJP,0,20000000,3000000,HARYANA,Graduate
CPI,3,10000000,1100000,KERALA,Graduate Professional
BJP,0,1600000,0,BIHAR,Graduate
BJP,0,130000000,10000000,UTTAR PRADESH,Graduate
AIADMK,0,30000000,9900000,TAMIL NADU,Post Graduate
DMK,0,7600000,46000,TAMIL NADU,8th Pass
BJP,0,40000000,5900000,HARYANA,Post Graduate
BJP,1,70000000,4800000,KARNATAKA,Graduate
BJP,0,20000000,0,MANIPUR,Graduate Professional
SP,0,30000000,1000000,UTTAR PRADESH,Post Graduate
AIADMK,1,40000000,20000000,TAMIL NADU,Graduate Professional
BJP,1,50000000,10000000,MAHARASHTRA,Graduate
JMM,3,40000000,0,JHARKHAND,12th Pass
INC,0,440000000,220000000,MAHARASHTRA,10th Pass
AIADMK,1,0,100000,TAMIL NADU,Graduate
BJP,0,20000000,0,ARUNACHAL PRADESH,Graduate Professional
INC,2,160000000,9500000,KARNATAKA,Post Graduate
BJP,0,30000000,500000,MADHYA PRADESH,12th Pass
INC,1,20000000,1500000,TAMIL NADU,Post Graduate
RJD,0,6300000,0,BIHAR,Graduate
BJP,0,50000000,100000,UTTAR PRADESH,Post Graduate
BJP,1,20000000,2400000,MADHYA PRADESH,Graduate
BJP,0,290000000,50000000,MAHARASHTRA,Graduate Professional
BJP,0,120000000,200000,RAJASTHAN,Post Graduate
AITC,0,200000000,1300000,WEST BENGAL,8th Pass
BJP,0,110000000,9600000,KARNATAKA,Post Graduate
BJP,0,270000000,60000000,MADHYA PRADESH,Graduate
BJP,0,10000000,2700000,GUJARAT,Graduate Professional
BJP,2,10000000,0,UTTAR PRADESH,12th Pass
INC,1,640000000,360000000,KARNATAKA,8th Pass
BJP,0,40000000,4900000,MAHARASHTRA,Graduate Professional
BJP,0,70000000,0,UTTARAKHAND,Graduate
BJP,0,20000000,0,CHHATTISGARH,Graduate
BJP,0,500000,3200000,ASSAM,Post Graduate
BJP,1,10000000,1900000,UTTARAKHAND,12th Pass
NCP,0,20000000,0,MAHARASHTRA,10th Pass
BJP,0,40000000,300000,MADHYA PRADESH,Graduate
NPP,0,100000000,0,ARUNACHAL PRADESH,12th Pass
BJP,0,120000000,2900000,GUJARAT,8th Pass
INC,0,80000000,5700000,ASSAM,Graduate
BJP,0,250000000,8200000,UTTARAKHAND,Post Graduate
BJP,0,520000000,9400000,MAHARASHTRA,Graduate
INC,1,50000000,20000000,GOA,12th Pass
INC,0,350000000,0,PUNJAB,Graduate
RJD,0,20000000,1500000,BIHAR,Post Graduate
BJP,2,50000000,1600000,UTTAR PRADESH,Graduate
JD(U),0,10000000,0,BIHAR,Graduate Professional
BJP,2,130000000,7000000,UTTAR PRADESH,Post Graduate
BJP,0,190000000,50000000,UTTAR PRADESH,Graduate
YSRCP,0,30000000,3300000,ANDHRA PRADESH,Post Graduate
BJP,0,30000000,10000000,UTTAR PRADESH,Post Graduate
INC,1,0,3800000,KARNATAKA,Graduate Professional
BJP,11,10000000,0,WEST BENGAL,12th Pass
BJP,0,20000000,2900000,RAJASTHAN,12th Pass
BJD,0,20000000,1400000,ODISHA,Graduate Professional
YSRCP,0,40000000,2000000,ANDHRA PRADESH,Graduate
AITC,2,70000000,100000,WEST BENGAL,12th Pass
RJD,5,20000000,2000000,BIHAR,Graduate
SHS,1,50000000,6600000,MAHARASHTRA,12th Pass
AAP,0,20000000,2000000,PUNJAB,12th Pass
YSRCP,0,8800000,0,ANDHRA PRADESH,10th Pass
BJP,3,40000000,900000,UTTAR PRADESH,Graduate
BJP,0,0,1400000,JHARKHAND,Graduate
INC,1,1890000000,240000000,KARNATAKA,Graduate
JD(U),1,0,1900000,BIHAR,Post Graduate
NCP,9,230000000,10000000,MAHARASHTRA,Graduate Professional
AIADMK,2,20000000,4300000,TAMIL NADU,12th Pass
BJP,1,40000000,300000,MADHYA PRADESH,Post Graduate
BJP,0,40000000,0,BIHAR,Post Graduate
BJP,0,40000000,0,UTTAR PRADESH,Graduate Professional
JD(U),0,500000,200000,MANIPUR,12th Pass
INC,0,10000000,1500000,GUJARAT,8th Pass
BJP,1,10000000,900000,UTTAR PRADESH,Post Graduate
BJP,0,40000000,0,GUJARAT,Literate
BJP,0,390000000,20000000,GUJARAT,Graduate Professional
AAP,0,130000000,8200000,PUNJAB,8th Pass
INC,3,130000000,50000000,KARNATAKA,Post Graduate
AAP,0,0,1400000,DELHI,Graduate
IND,1,1410000000,80000000,HARYANA,Graduate
BJP,0,0,70000000,KARNATAKA,Graduate Professional
AAP,0,130000000,3200000,PUNJAB,Graduate Professional
BJP,1,40000000,200000,UTTAR PRADESH,Post Graduate
AAP,1,0,0,PUNJAB,Post Graduate
BJP,2,7900000,400000,UTTAR PRADESH,10th Pass
BJP,1,40000000,0,UTTAR PRADESH,Graduate Professional
BJP,0,300000000,30000000,UTTAR PRADESH,Post Graduate
YSRCP,1,20000000,200000,ANDHRA PRADESH,10th Pass
SP,38,0,0,UTTAR PRADESH,Graduate
BJP,0,6500000,0,BIHAR,5th Pass
BJP,0,0,150000000,MAHARASHTRA,10th Pass
RJD,5,40000000,3100000,BIHAR,Graduate
YSRCP,6,70000000,5300000,ANDHRA PRADESH,Graduate Professional
BJP,0,170000000,4900000,MADHYA PRADESH,Graduate
DMK,3,200000000,100000000,PUDUCHERRY,10th Pass
AITC,0,0,4300000,WEST BENGAL,Graduate
AAP,5,5700000,100000,PUNJAB,12th Pass
BJP,1,230000000,40000000,MAHARASHTRA,5th Pass
BJP,0,130000000,10000000,MAHARASHTRA,Graduate
BJP,0,30000000,8100000,PUDUCHERRY,Graduate Professional
IND,0,180000000,40000000,MEGHALAYA,10th Pass
AAP,1,10000000,3600000,PUNJAB,Graduate Professional
BJP,3,20000000,700000,BIHAR,Graduate Professional
BJP,0,60000000,20000000,MADHYA PRADESH,Post Graduate
BJP,0,20000000,1100000,RAJASTHAN,Post Graduate
BJP,0,20000000,4500000,UTTAR PRADESH,10th Pass
INC,0,120000000,10000000,HARYANA,Graduate Professional
BJP,0,330000000,180000000,GUJARAT,12th Pass
BJD,1,50000000,200000,ODISHA,Graduate
AAP,1,50000000,1400000,PUNJAB,10th Pass
BJP,1,0,4500000,UTTAR PRADESH,Graduate Professional
BJP,0,30000000,1500000,CHHATTISGARH,Graduate Professional
BJP,0,5600000,800000,TRIPURA,10th Pass
BJD,0,800000,0,ODISHA,10th Pass
AIADMK,0,10000000,3900000,TAMIL NADU,Graduate
TDP,2,2740000000,150000000,ANDHRA PRADESH,Graduate
BJD,3,0,1300000,ODISHA,Graduate
INC,0,20000000,30000000,UTTARAKHAND,Post Graduate
CPI(M),7,3600000,1400000,KERALA,Graduate Professional
JD(U),0,20000000,1900000,BIHAR,12th Pass
BJP,0,80000000,7200000,GOA,10th Pass
NPP,2,40000000,1500000,ARUNACHAL PRADESH,12th Pass
SP,3,10000000,0,UTTAR PRADESH,12th Pass
SP,0,9800000,0,UTTAR PRADESH,Graduate Professional
INC,0,20000000,3200000,KARNATAKA,12th Pass
BJP,0,10000000,100000,MANIPUR,Graduate
AAP,0,9300000,0,DELHI,12th Pass
AAP,1,30000000,400000,DELHI,Graduate
BJP,0,0,10000000,MANIPUR,10th Pass
JD(S),0,70000000,20000000,KARNATAKA,Graduate Professional
BJP,0,5000000,0,CHHATTISGARH,Post Graduate
BJP,0,120000000,10000000,HARYANA,Graduate
BJP,1,10000000,1300000,MADHYA PRADESH,Post Graduate
BJP,0,3700000,0,MANIPUR,Graduate
BJP,2,20000000,10000000,WEST BENGAL,Graduate
CPI(M),0,10000000,0,TRIPURA,Graduate Professional
AITC,4,20000000,0,WEST BENGAL,Graduate Professional
BJP,0,2100000,0,GUJARAT,8th Pass
INC,1,2960000000,770000000,KARNATAKA,Graduate
AITC,1,30000000,7400000,WEST BENGAL,Graduate Professional
BJP,0,20000000,0,UTTAR PRADESH,10th Pass
AITC,0,60000000,0,WEST BENGAL,Graduate Professional
BJP,0,9400000,0,MANIPUR,Post Graduate
AITC,5,80000000,30000000,WEST BENGAL,Graduate
BJP,0,3600000,2200000,TRIPURA,12th Pass
BJP,0,40000000,2200000,MADHYA PRADESH,12th Pass
BJP,0,50000000,8100000,HIMACHAL PRADESH,Post Graduate
BJP,0,100000000,10000000,DELHI,Post Graduate
BJP,0,100000000,5400000,KARNATAKA,12th Pass
BJP,0,10000000,1200000,UTTARAKHAND,Graduate Professional
BJP,1,0,0,WEST BENGAL,12th Pass
AAP,1,0,1700000,DELHI,12th Pass
INC,0,70000000,20000000,RAJASTHAN,12th Pass
BJP,0,10000000,50000,ASSAM,Graduate
BJP,0,110000000,8900000,GUJARAT,Graduate
BJP,0,30000000,400000,GUJARAT,10th Pass
BJP,0,50000000,7800000,MADHYA PRADESH,12th Pass
SP,0,20000000,1000000,UTTAR PRADESH,12th Pass
BJP,0,20000000,2700000,UTTAR PRADESH,Post Graduate
INC,8,2100000,3900000,KERALA,Graduate Professional
IND,0,40000000,20000000,KERALA,Post Graduate
INC,1,370000000,10000000,KARNATAKA,12th Pass
YSRCP,0,3200000,700000,ANDHRA PRADESH,Graduate
BJP,0,260000000,130000000,KARNATAKA,12th Pass
BJP,1,40000000,2000000,CHHATTISGARH,Post Graduate
INC,3,10000000,0,RAJASTHAN,10th Pass
BJP,0,70000000,10000000,MANIPUR,Doctorate
IND,0,10000000,0,KERALA,Graduate Professional
AAP,2,1400000,0,DELHI,Others
INC,0,40000000,3300000,KARNATAKA,Graduate
AAP,0,0,1500000,PUNJAB,Graduate Professional
DMK,0,10000000,0,TAMIL NADU,Graduate Professional
BJP,0,30000000,1500000,GUJARAT,8th Pass
RJD,0,10000000,4700000,BIHAR,Post Graduate
AAP,0,10000000,2800000,DELHI,Graduate Professional
BJP,6,110000000,4300000,UTTAR PRADESH,Graduate Professional
INC,0,80000000,0,ARUNACHAL PRADESH,Graduate
BJP,0,40000000,0,MAHARASHTRA,Doctorate
INC,0,30000000,10000000,KARNATAKA,8th Pass
BJP,1,40000000,4900000,MAHARASHTRA,Graduate Professional
BJP,1,150000000,40000000,RAJASTHAN,Others
INC,0,20000000,0,CHHATTISGARH,Graduate Professional
CPI,0,9900000,1100000,KERALA,Graduate Professional
NCP,0,9200000,1200000,MAHARASHTRA,12th Pass
BJP,0,520000000,50000000,KARNATAKA,Graduate Professional
DMK,3,210000000,30000000,TAMIL NADU,Graduate
DMK,0,30000000,1000000,TAMIL NADU,10th Pass
YSRCP,0,30000000,10000000,ANDHRA PRADESH,Post Graduate
BJP,0,20000000,3800000,UTTARAKHAND,Doctorate
AITC,1,40000000,2400000,WEST BENGAL,Post Graduate
DMK,3,30000000,2900000,TAMIL NADU,Graduate Professional
SHS,6,320000000,40000000,MAHARASHTRA,8th Pass
BJP,5,30000000,0,UTTAR PRADESH,12th Pass
CPI(M),0,3700000,500000,KERALA,Graduate Professional
BJP,0,7600000,800000,TRIPURA,12th Pass
AAP,3,2500000,10000,DELHI,Post Graduate
AAP,1,600000,0,PUNJAB,10th Pass
BJP,0,150000000,20000000,HARYANA,10th Pass
BJP,0,6800000,600000,UTTARAKHAND,10th Pass
AAP,1,60000000,4800000,PUNJAB,Post Graduate
AAP,2,3500000,0,DELHI,Graduate Professional
BJP,3,0,1900000,JHARKHAND,10th Pass
INC,0,0,0,MADHYA PRADESH,12th Pass
INC,2,70000000,2700000,MAHARASHTRA,Post Graduate
DMK,0,2900000,1600000,PUDUCHERRY,Graduate
BJP,0,50000000,1100000,GUJARAT,Graduate
INC,0,10000000,1100000,ASSAM,Post Graduate
BJP,2,60000000,0,UTTAR PRADESH,Post Graduate
JMM,3,1500000,0,JHARKHAND,12th Pass
BJP,0,6700000,0,MANIPUR,Post Graduate
IND,1,640000000,170000000,KERALA,12th Pass
AITC,2,20000000,0,WEST BENGAL,Post Graduate
BJP,0,0,0,UTTAR PRADESH,12th Pass
AITC,0,70000000,2600000,WEST BENGAL,Graduate Professional
INC,0,20000000,1500000,TAMIL NADU,Graduate
CPI(M),1,5300000,0,KERALA,10th Pass
CPI(M),3,0,2600000,KERALA,12th Pass
BJP,1,50000000,3900000,BIHAR,Doctorate
YSRCP,0,1280000000,0,ANDHRA PRADESH,Graduate
SHS,1,10000000,4000000,MAHARASHTRA,Graduate
BJP,2,190000000,50000000,ARUNACHAL PRADESH,Graduate
BJP,0,10000000,4200000,MANIPUR,Graduate
INC,0,170000000,70000000,RAJASTHAN,12th Pass
BJP,1,110000000,8300000,MADHYA PRADESH,Graduate
DMK,6,0,100000000,TAMIL NADU,10th Pass
INC,4,140000000,1800000,MADHYA PRADESH,Doctorate
BJP,0,0,100000,UTTARAKHAND,Literate
BJD,1,30000000,20000000,ODISHA,Graduate Professional
BJP,0,0,3800000,MADHYA PRADESH,Post Graduate
AAP,1,20000000,0,DELHI,Post Graduate
AITC,2,2400000,200000,WEST BENGAL,Graduate
BJP,2,0,5900000,MADHYA PRADESH,12th Pass
NPP,0,0,40000000,MEGHALAYA,12th Pass
BJP,0,40000000,10000000,MADHYA PRADESH,12th Pass
BJP,0,20000000,1700000,HARYANA,Post Graduate
BJP,0,0,20000000,MAHARASHTRA,Doctorate
AITC,1,20000000,6300000,WEST BENGAL,Post Graduate
BJP,1,10000000,0,WEST BENGAL,10th Pass
INC,2,140000000,210000000,KARNATAKA,Graduate
BJP,0,8900000,3500000,HIMACHAL PRADESH,Graduate
INC,3,50000000,800000,MADHYA PRADESH,Post Graduate
BJP,0,0,2400000,RAJASTHAN,12th Pass
BJP,0,10000000,0,ODISHA,Graduate Professional
RJD,4,9200000,0,BIHAR,12th Pass
INC,5,10000000,1200000,GUJARAT,Post Graduate
INC,1,10000000,300000,KARNATAKA,10th Pass
BJP,0,40000000,0,ARUNACHAL PRADESH,12th Pass
INC,0,40000000,5000000,BIHAR,Graduate Professional
BJP,0,10000000,5200000,MADHYA PRADESH,Post Graduate
BJD,0,1100000,28000,ODISHA,12th Pass
INC,7,430000000,60000000,BIHAR,Graduate
AIADMK,0,10000000,3100000,TAMIL NADU,10th Pass
BJP,3,120000000,5200000,UTTAR PRADESH,Graduate
JD(S),1,0,330000000,KARNATAKA,Graduate Professional
INC,1,20000000,1800000,KARNATAKA,12th Pass
BJP,0,20000000,3300000,TRIPURA,Graduate Professional
INC,4,9100000,900000,JHARKHAND,Graduate
BJP,0,350000000,160000000,MADHYA PRADESH,Post Graduate
YSRCP,2,130000000,7400000,ANDHRA PRADESH,12th Pass
DMK,13,6300000,1000000,TAMIL NADU,Graduate Professional
SP,1,0,500000,UTTAR PRADESH,Post Graduate
DMK,0,70000000,20000000,TAMIL NADU,10th Pass
BJP,5,20000000,800000,MAHARASHTRA,10th Pass
BJP,1,40000000,0,MANIPUR,Graduate
BJP,0,130000000,5200000,CHHATTISGARH,Graduate
IND,1,660000000,190000000,HARYANA,10th Pass
AIADMK,0,30000000,900000,TAMIL NADU,Graduate
AITC,0,6700000,0,WEST BENGAL,10th Pass
RJD,4,20000000,0,BIHAR,Graduate
BJP,22,6100000,200000,GUJARAT,Graduate
BJP,2,130000000,50000000,KARNATAKA,10th Pass
YSRCP,5,50000000,0,ANDHRA PRADESH,Graduate Professional
AAP,0,18000,300000,PUNJAB,Others
BJP,2,100000000,0,RAJASTHAN,Post Graduate
BJP,0,10000000,2700000,HARYANA,Graduate
INC,3,100000000,20000000,CHHATTISGARH,Graduate Professional
AITC,0,6000000,0,WEST BENGAL,Graduate Professional
BJP,0,40000000,100000,GUJARAT,Graduate
CPI(M),2,10000000,0,KERALA,12th Pass
JD(U),0,0,0,ARUNACHAL PRADESH,12th Pass
BJP,0,80000000,200000,GUJARAT,Graduate Professional
AITC,0,40000000,500000,WEST BENGAL,Graduate
BJP,3,80000000,60000000,KARNATAKA,Graduate Professional
